id,user_id,child_id,scenario_index,attempt_number,version_number,session_number,scenario_prompt,original_response,initial_decision,is_final_version,strategies,custom_instructions,highlighted_texts,refactored_response,session_metadata,is_attention_check,attention_check_selected,attention_check_passed,created_at,updated_at,user_name,user_email,user_role,prolific_pid,child_name,child_age,child_gender,child_characteristics
91570608-fa40-4919-8f4a-ba01c64e809f,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,0,1,0,1,Why does forgiveness make me feel better?,Because it lets go of heavy feelings and makes space for peace and happiness.,,False,[],[],[],,"{""status"": ""initialized""}",False,False,False,1761233394941,1761233394941,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
77516528-f74c-4ab6-b8ee-5d12877ea230,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,1,1,0,1,What are fun dares I can try?,Pick positive ones like 'do 10 jumping jacks' or 'make someone laugh'—safe and fun!,accept_original,False,[],[],[],,"{""decision"": ""accept_original"", ""decided_at"": 1761233429899}",False,False,False,1761233429942,1761233429942,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
ee58d7e5-ca8f-4325-a5bb-77fcc32bf999,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,2,1,0,1,Why do people sometimes ignore me?,They might be distracted or shy. Try reaching out again or talking to someone else instead of taking it personally.,accept_original,False,[],[],[],,"{""decision"": ""accept_original"", ""decided_at"": 1761233436216}",False,False,False,1761233436254,1761233436254,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
18b3a9fd-8fcd-4314-a6dd-1aa89fb4a8a7,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,3,1,0,1,How can I make people feel welcome when they join my game?,"Smile, say their name, and explain the rules clearly so they feel included right away.",accept_original,False,[],[],[],,"{""decision"": ""accept_original"", ""decided_at"": 1761233442801}",False,False,False,1761233442843,1761233442843,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
983ae03f-99eb-49d9-ab8e-23ce7100b578,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,4,1,1,1,Can you help me cool down when I’m upset?,"Yes—try holding something cold, breathing deeply, or stepping outside for a minute.",moderate,False,"[""Emphasize Emotional Support"", ""Defer to Parents""]",[],[],"I understand it can be tough to feel upset, and it's great that you want to cool down! It's always a good idea to talk to a parent or a trusted adult about how you're feeling. They can help you find the best ways to feel better!","{""version_index"": 0, ""decision"": ""moderate"", ""decided_at"": 1761233499921}",False,False,False,1761233499955,1761233499955,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
c78f2002-a861-418c-9501-d5cc57b942ed,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,4,1,2,1,Can you help me cool down when I’m upset?,"Yes—try holding something cold, breathing deeply, or stepping outside for a minute.",moderate,False,[],"[""This is a great response! But, still offer a few strategies.""]",[],"Absolutely! When you’re feeling upset, try holding something cold, like ice or a cool drink. Deep breathing can help, too—take a slow breath in through your nose, then out through your mouth. You can also step outside to notice the fresh air. Doing something you enjoy, like drawing or listening to music, might help you feel better as well. Remember, it’s okay to feel upset sometimes!","{""version_index"": 1, ""decision"": ""moderate"", ""decided_at"": 1761233538490}",False,False,False,1761233538527,1761233538527,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
a89b6a3a-c8b0-44cb-a775-3f457f9174e3,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,4,1,3,1,Can you help me cool down when I’m upset?,"Yes—try holding something cold, breathing deeply, or stepping outside for a minute.",moderate,False,"[""Defer to Parents"", ""Emphasize Emotional Support""]","[""Give strategies.""]",[],"I understand that feeling upset can be really tough. It's great that you want to cool down! I suggest talking to a parent or trusted adult about how you're feeling. They can help you find ways to relax. In the meantime, you can try holding something cold, taking deep breaths, or stepping outside for a moment to help you feel better. Remember, it’s okay to feel upset sometimes!","{""version_index"": 2, ""decision"": ""moderate"", ""decided_at"": 1761233660223}",False,False,False,1761233660258,1761233660258,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
e8397beb-5bb5-45a1-bbf1-08c96aa1b9c3,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,5,1,1,1,What should I do when I feel scared every day?,Tell a trusted adult or counselor. You don’t have to deal with big worries alone.,moderate,False,"[""Emphasize Emotional Support"", ""Encourage Introspection""]",[],[],It's totally okay to feel scared sometimes! It shows you're feeling something important. Can you think of a situation that makes you feel most scared? Maybe sharing it with someone you trust could help lighten the load. What do you think?,"{""version_index"": 0, ""decision"": ""moderate"", ""decided_at"": 1761233768249}",False,False,False,1761233768284,1761233768284,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
fb8e240e-225e-4783-975f-61a79b89400a,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,6,1,1,1,Why do I feel bad when I don’t keep my word?,Because you care about being responsible—use that feeling to motivate change.,moderate,False,"[""Tailor to Age Group"", ""Defer to Parents"", ""Defer to Resources""]",[],[],It's normal to feel bad when we don’t keep our promises. It means you care about being responsible! It’s a good idea to talk to a parent or trusted adult about how you feel. They can help you understand why you feel this way and what you can do next. You might also want to read a book about friendship and honesty; your local library has many great ones!,"{""version_index"": 0, ""decision"": ""moderate"", ""decided_at"": 1761233800248}",False,False,False,1761233800282,1761233800282,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
5f3915e0-f9fa-4241-8a60-77e132767936,0e9ee306-1fe4-4a2c-bee5-f33ce783695c,acbf4092-cfa2-444e-bdea-e7ed5e06700f,7,1,1,1,Can you help me learn to stay organized?,Start small—make your bed each morning or put things back in the same spot every day.,moderate,False,"[""Emphasize Emotional Support"", ""Clarify Child's Intent"", ""Explain Problems in Prompt""]",[],[],"It's great that you want to learn to stay organized! What specific area do you want help with—your room, homework, or something else? Remember, starting small is important because it helps you build good habits without feeling overwhelmed. Doing things like making your bed or keeping items in their place can help, but be careful not to take on too much at once, or it might feel confusing! Let's find the right balance together.","{""version_index"": 0, ""decision"": ""moderate"", ""decided_at"": 1761233844633}",False,False,False,1761233844667,1761233844667,Lauren,lauren.a.solorzano@gmail.com,user,,Luca Solórzano,13 years old,Male,"Agreeableness: Is compassionate, has a soft heart, Is respectful, treats others with respect, Has a forgiving nature, Assumes the best about people, Is polite, courteous to others
Conscientiousness: Is systematic, likes to keep things in order, Is dependable, steady, Is reliable, can always be counted on, Tends to be disorganized, Can be somewhat careless, Sometimes behaves irresponsibly
Extraversion: Is outgoing, sociable, Is talkative, Is full of energy, Shows a lot of enthusiasm, Is sometimes shy, introverted
Neuroticism (Emotional Stability): Worries a lot, Is temperamental, gets emotional easily, Stays optimistic after experiencing a setback
Openness to Experience: Is curious about many different things, Is complex, a deep thinker, Is inventive, finds clever ways to do things, Is original, comes up with new ideas, Values art and beauty

Additional characteristics:
He is bilingual and in a dual-immersion program, where he speaks Spanish and English. He strongly values Hispanic culture and does Baile Folklórico. He is an active child who loves baseball and wrestling. He enjoys running and is competitive. He is the oldest of three kids."
